sigungu_code,sido_name,sigungu_name,all_grid_count,target_grid_count,very_high_count,high_count,top_priority_count,priority_count,low_access_target_count,environment_caution_count,avg_risk_score,avg_infection_pressure,avg_access_score,estimated_minutes,required_person_days,required_field_workers,available_field_workers,field_worker_gap,required_drone_workers,available_drone_workers,drone_worker_gap,required_control_standby,available_control_workers,control_worker_gap
37520,경상북도,의성군,946,214,129,253,39,175,45,72,61.51,57.36,52.08,16625.0,46.18,10,1,-9,3,0,-3,5,3,-2
37530,경상북도,청송군,1,0,0,0,0,0,0,0,28.79,48.99,56.83,0.0,0.0,0,1,1,0,2,2,0,6,6
37550,경상북도,영덕군,292,121,92,56,73,48,22,40,66.61,57.06,51.68,9980.0,27.72,6,1,-5,2,3,1,4,0,-4
37560,경상북도,청도군,672,54,33,116,9,45,6,23,53.23,59.24,53.14,4150.0,11.53,3,1,-2,1,0,-1,2,2,0
37570,경상북도,고령군,906,586,545,197,276,310,73,218,81.82,52.66,52.82,46030.0,127.86,26,1,-25,4,0,-4,19,1,-18
37580,경상북도,성주군,496,138,126,126,24,114,11,64,67.28,59.8,55.23,10000.0,27.78,6,0,-6,1,1,0,5,1,-4
37590,경상북도,칠곡군,639,141,92,172,21,120,16,43,62.23,58.37,56.1,9965.0,27.68,6,0,-6,1,0,-1,4,1,-3
37600,경상북도,예천군,301,51,45,57,23,28,3,23,59.12,51.89,55.21,3895.0,10.82,3,1,-2,1,1,0,2,2,0
37610,경상북도,봉화군,483,69,25,110,9,60,0,26,55.36,50.06,56.26,4890.0,13.58,3,2,-1,0,1,1,1,3,2
38030,경상남도,진주시,1050,344,301,223,119,225,22,173,66.13,59.6,57.01,24960.0,69.33,14,0,-14,2,0,-2,11,0,-11
38050,경상남도,통영시,315,61,32,57,21,40,13,21,58.33,61.17,50.04,4805.0,13.35,3,1,-2,1,0,-1,2,0,-2
38060,경상남도,사천시,252,87,58,66,23,64,3,40,66.18,65.58,56.25,6230.0,17.31,4,0,-4,1,0,-1,2,0,-2
38070,경상남도,김해시,174,19,15,31,4,15,3,10,58.02,63.66,59.29,1315.0,3.65,1,0,-1,1,0,-1,1,0,-1
38080,경상남도,밀양시,487,125,109,86,38,87,20,67,62.34,60.52,51.11,10020.0,27.83,6,0,-6,1,0,-1,4,1,-3
38090,경상남도,거제시,440,116,97,94,44,72,14,23,64.86,62.94,51.42,8665.0,24.07,5,0,-5,1,0,-1,4,0,-4
38100,경상남도,양산시,642,211,193,165,53,158,20,115,69.18,59.91,53.56,15715.0,43.65,9,0,-9,1,0,-1,7,1,-6
38111,경상남도,창원시 의창구,186,40,38,56,10,30,7,18,66.38,61.62,58.5,2950.0,8.19,2,1,-1,1,0,-1,2,0,-2
