grid_id,sido_name,sigungu_code,sigungu_name,emd_code,emd_name,priority_grade,risk_grade,risk_score,access_score,estimated_minutes,unassigned_reason
363340,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,93.71040824037364,56.76321127640963,80.0,대기 현장요원 없음
364561,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,93.65754705406796,57.84363401227108,80.0,대기 현장요원 없음
351126,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,93.58335086657394,56.19314852847979,80.0,대기 현장요원 없음
341352,충청남도,34580,태안군,34580340,소원면,최우선 예찰,매우 높음,93.5530672756318,65.60019164033957,60.0,대기 현장요원 없음
347465,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,93.33052442992124,63.76094492766135,75.0,대기 현장요원 없음
342569,충청남도,34580,태안군,34580340,소원면,최우선 예찰,매우 높음,93.2938557923892,54.35422453984133,80.0,대기 현장요원 없음
363346,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,93.24059455379609,60.72090909775216,75.0,대기 현장요원 없음
367056,충청남도,34580,태안군,34580120,안면읍,최우선 예찰,매우 높음,93.18168435074875,57.21420456396356,80.0,대기 현장요원 없음
368258,충청남도,34580,태안군,34580320,남면,최우선 예찰,매우 높음,92.95483475729674,59.51912095948092,95.0,대기 현장요원 없음
368277,충청남도,34580,태안군,34580120,안면읍,최우선 예찰,매우 높음,92.71718824973796,59.24103706811719,80.0,대기 현장요원 없음
362124,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,92.51550644663716,54.13573831168381,95.0,대기 현장요원 없음
359681,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,92.3796070933238,65.27238080045831,60.0,대기 현장요원 없음
363342,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,92.32494121686376,55.36606264532537,80.0,대기 현장요원 없음
364564,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,91.0793786844003,56.95887266020628,80.0,대기 현장요원 없음
359678,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,90.3490980818852,52.93428700211136,95.0,대기 현장요원 없음
360900,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,90.300255177694,51.40501628363928,80.0,대기 현장요원 없음
340132,충청남도,34580,태안군,34580340,소원면,최우선 예찰,매우 높음,90.01493346343752,61.20966661081489,60.0,대기 현장요원 없음
348691,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,89.39581519502899,60.529445960398135,60.0,대기 현장요원 없음
360899,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,89.37891978899732,55.02409784202225,80.0,대기 현장요원 없음
343791,충청남도,34580,태안군,34580340,소원면,최우선 예찰,매우 높음,89.20684864518353,54.23205387777392,80.0,대기 현장요원 없음
351128,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,88.55137832793962,58.1309725835616,80.0,대기 현장요원 없음
346245,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,88.36791957517764,61.07277583066298,60.0,대기 현장요원 없음
363345,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,88.0359101262345,53.12345019870118,80.0,대기 현장요원 없음
358458,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,87.5969084666653,57.31441128327162,80.0,대기 현장요원 없음
358457,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,87.49540005940548,53.93892735142367,95.0,대기 현장요원 없음
356008,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,86.73722452883435,56.85589388951557,80.0,대기 현장요원 없음
349907,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,86.61928425122476,57.86432099471779,80.0,대기 현장요원 없음
364563,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,86.49412093519862,51.845754026245785,80.0,대기 현장요원 없음
362122,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,86.17153128015389,49.80997758616324,80.0,대기 현장요원 없음
349906,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,85.96664217435372,54.03211091783936,80.0,대기 현장요원 없음
352347,충청남도,34580,태안군,34580350,원북면,최우선 예찰,매우 높음,85.8412300530837,55.01196989900593,80.0,대기 현장요원 없음
368233,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,85.61632494849908,55.26570020284899,80.0,대기 현장요원 없음
346243,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,85.46568855723787,56.8166905916225,80.0,대기 현장요원 없음
345025,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,매우 높음,85.38303545468324,59.51796971154201,80.0,대기 현장요원 없음
360901,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,85.32176950632685,50.74667742902163,80.0,대기 현장요원 없음
367050,충청남도,34580,태안군,34580120,안면읍,최우선 예찰,매우 높음,84.9216759412079,57.65494964747802,80.0,대기 현장요원 없음
373184,충청남도,34580,태안군,34580120,안면읍,최우선 예찰,매우 높음,84.33518115922135,55.98397547546868,80.0,대기 현장요원 없음
358456,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,84.21965078410295,44.5913939923195,80.0,대기 현장요원 없음
368234,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,83.896396326348,60.55763100979697,60.0,대기 현장요원 없음
362121,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,매우 높음,83.75299902559654,42.06802314114916,80.0,대기 현장요원 없음
368278,충청남도,34580,태안군,34580120,안면읍,최우선 예찰,매우 높음,83.69063140850623,57.704864199808966,80.0,대기 현장요원 없음
364562,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,높음,82.57836169476053,52.78295225899189,80.0,대기 현장요원 없음
351127,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,높음,82.18371188582483,57.09761361083326,80.0,대기 현장요원 없음
368279,충청남도,34580,태안군,34580120,안면읍,최우선 예찰,높음,82.04470867797556,54.70863457483783,80.0,대기 현장요원 없음
348685,충청남도,34580,태안군,34580330,근흥면,최우선 예찰,높음,81.40438434748592,54.78246599269744,80.0,대기 현장요원 없음
359680,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,높음,80.74970488980689,53.13490646787527,80.0,대기 현장요원 없음
359679,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,높음,79.64256351864331,40.18590066895241,80.0,대기 현장요원 없음
352348,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,높음,79.35513794223532,55.4036149851524,95.0,대기 현장요원 없음
362123,충청남도,34580,태안군,34580110,태안읍,최우선 예찰,높음,73.771444042696,50.92980148922416,80.0,대기 현장요원 없음
356025,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,97.85500307489323,69.05306830124658,45.0,대기 현장요원 없음
358467,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.81068077546044,68.00389706532799,60.0,대기 현장요원 없음
357246,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.69544227501846,69.31430888054788,45.0,대기 현장요원 없음
357244,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.6797682861732,68.80033913464797,45.0,대기 현장요원 없음
358465,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.632825518006,70.52540068259987,45.0,대기 현장요원 없음
359689,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.54598345836266,67.72480835412044,45.0,대기 현장요원 없음
363356,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.28103196680988,63.394727171987256,45.0,대기 현장요원 없음
358466,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.25696543946214,69.25945188164339,60.0,대기 현장요원 없음
357248,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,97.23982833653486,68.96242837819986,45.0,대기 현장요원 없음
363351,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,97.0984085968787,74.15540306868607,60.0,대기 현장요원 없음
374379,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,97.0605106211975,54.39490108834144,80.0,대기 현장요원 없음
356022,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.98733758344498,64.18478514741795,60.0,대기 현장요원 없음
359687,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.86383577446368,66.77987069846607,45.0,대기 현장요원 없음
364578,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.83014783137912,63.88865410586036,45.0,대기 현장요원 없음
360909,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.75412475839956,67.15819518153819,45.0,대기 현장요원 없음
365799,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.74874371533495,57.94018919992338,80.0,대기 현장요원 없음
380513,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.74745339931752,59.91595146541663,80.0,대기 현장요원 없음
370715,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.69528245455729,65.58476739515724,60.0,대기 현장요원 없음
378068,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.67080960875168,59.716658258960166,65.0,대기 현장요원 없음
358468,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.66344661974397,66.41340520213785,60.0,대기 현장요원 없음
363350,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.55992426140249,76.39796610829836,45.0,대기 현장요원 없음
363389,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.53677082207486,56.64080186629774,65.0,대기 현장요원 없음
360914,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.44385034972318,63.56645012612409,60.0,대기 현장요원 없음
380512,충청남도,34580,태안군,34580120,안면읍,우선 예찰,매우 높음,96.43310491935424,60.16703603092449,45.0,대기 현장요원 없음
357250,충청남도,34580,태안군,34580320,남면,우선 예찰,매우 높음,96.41106481280664,69.92897267119979,45.0,대기 현장요원 없음
364577,충청남도,34580,태안군,34580110,태안읍,우선 예찰,매우 높음,96.37015569655618,60.271274050072336,45.0,대기 현장요원 없음
